@relation dataset_z

@attribute col0 numeric
@attribute col1 numeric
@attribute col2 numeric
@attribute col3 numeric
@attribute col4 numeric
@attribute col5 numeric
@attribute col6 numeric
@attribute col7 numeric
@attribute col8 numeric
@attribute col9 numeric
@attribute col10 numeric
@attribute col11 {nom_11_0,nom_11_1,nom_11_4,nom_11_2,nom_11_3}
@attribute col12 {nom_12_0,nom_12_1,nom_12_4,nom_12_2,nom_12_3}
@attribute class {class0,class2,class1}

@data
?,-0.716448,-0.956342,-0.340025,-0.485744,-1.314379,-1.075909,-0.440599,-0.336885,-1.174812,-0.958272,nom_11_0,nom_12_0,class0
0.612142,1.481609,0.832724,0.500365,1.266733,1.550995,0.738894,0.663308,1.733408,1.413118,1.393659,nom_11_1,nom_12_1,class0
-0.254374,-0.75714,-0.681034,-1.429364,-0.174085,0.363958,0.030333,-0.520097,0.22803,0.174558,0.508793,nom_11_0,nom_12_0,class0
1.462845,0.529396,0.71629,0.617467,1.593174,1.915177,0.691943,0.620258,2.021736,1.62277,0.744078,nom_11_1,nom_12_1,class0
-0.149082,0.038923,-0.378255,-0.722476,-0.624313,-1.162746,-0.294508,-0.275527,-0.118411,-0.450349,0.546793,nom_11_0,nom_12_0,class0
-1.240985,-0.981174,-1.242597,-0.968882,-1.058477,-0.463375,-1.096938,-1.635472,-0.696278,-1.257638,-0.798348,nom_11_0,nom_12_0,class0
-0.853556,0.263713,0.268321,-0.062913,-0.303908,-0.953126,-0.720223,-0.074047,-0.385421,-0.159759,0.203361,nom_11_0,nom_12_0,class0
-0.507552,-0.26581,-0.541288,-0.543665,-0.660458,0.340159,-0.149075,0.023634,0.250764,-0.440482,0.00901,nom_11_0,nom_12_1,class0
-0.009539,-0.646224,-0.077726,-1.602029,0.390242,-1.325505,0.056656,-0.976918,-0.348085,-0.544948,0.292485,nom_11_0,nom_12_0,class0
0.64776,1.190892,1.034228,1.744677,1.425185,0.597128,1.621861,0.687883,1.614617,0.838766,1.149914,nom_11_1,nom_12_1,class0
-0.805406,-0.92925,-1.748014,-0.779567,-1.669502,-1.34579,-0.834929,-1.510379,-0.976665,-0.054446,-0.766162,nom_11_0,nom_12_0,class0
0.064759,0.655217,0.643303,1.201016,0.368816,-0.205413,0.267341,1.405971,0.668945,0.753919,0.936035,nom_11_1,nom_12_1,class0
-1.206607,-0.74064,0.028292,-1.592311,-2.079054,-0.341709,-0.652503,-0.565088,-1.244787,-1.019769,-0.9713,nom_11_0,nom_12_0,class0
0.47356,0.381491,1.040375,1.363381,0.918756,1.133499,1.460509,0.041765,0.425038,1.747041,1.723364,nom_11_1,nom_12_1,class0
0.030229,0.978287,0.599717,0.478664,0.135699,0.992441,1.229828,0.473675,0.870375,1.167154,0.031761,nom_11_1,nom_12_1,class0
-0.557553,-1.155843,-0.412207,-1.367227,-0.268662,-0.682293,-0.620675,-0.433243,-0.834742,-1.228184,-1.044541,nom_11_0,nom_12_0,class0
-0.243727,0.512386,-0.641106,-0.385455,-0.491207,-0.938453,0.243532,-0.741319,-1.352775,-1.379175,-0.535494,nom_11_0,nom_12_0,class0
-1.791533,-1.583218,-1.071311,-1.342078,-1.529414,-0.397153,-1.868839,-0.443747,-1.117644,-1.181505,-1.091033,nom_11_0,nom_12_0,class0
-1.021488,-0.346062,-0.854437,-1.131045,-1.095001,-0.413039,-1.158085,-0.532294,-0.272674,-0.154408,-0.320002,nom_11_0,nom_12_0,class0
-0.949889,-0.898755,-0.682503,-0.478993,-0.581409,-0.756143,-1.01877,-0.463674,-0.431855,-0.641917,-1.258262,nom_11_0,nom_12_0,class0
-1.977248,-1.979543,-1.76376,-1.928205,-1.686805,-1.406314,-1.816757,-1.049106,-1.04856,-2.063243,-1.799395,nom_11_0,nom_12_0,class0
-0.725909,0.371471,0.364776,-0.148114,0.707909,-0.226018,0.180158,-0.142104,1.118065,-0.238024,0.028165,nom_11_1,nom_12_1,class0
-0.047432,0.437534,-0.163638,-0.750077,-0.587961,-1.010663,-0.020734,-0.408542,-0.295359,-0.033745,-0.335522,nom_11_0,nom_12_0,class0
9.84042,9.993511,10.675041,9.427707,10.540277,10.221916,10.149239,9.392782,10.681431,10.129949,10.364155,nom_11_4,nom_12_4,class2
0.67663,1.069084,1.041038,0.665675,-0.049489,0.304939,0.773107,0.846363,0.731919,0.889631,0.709723,nom_11_1,nom_12_1,class0
0.096931,-0.151047,-0.267946,0.11414,-0.192859,-0.003532,-0.297391,0.023039,-0.050258,-0.299997,-0.383741,nom_11_1,nom_12_1,class0
-0.97307,0.141683,-0.562768,-0.080558,-0.072885,-0.605724,-0.432434,-0.34409,-1.372871,-0.193908,-1.060695,nom_11_0,nom_12_0,class0
6.10523,5.965958,5.060622,5.122422,5.846822,5.631752,6.003692,5.657692,5.720341,5.808094,5.320544,nom_11_2,nom_12_2,class1
0.437127,0.996011,-0.246752,-0.712572,-0.54501,-0.506815,0.251968,0.50092,-0.034082,-0.490028,-0.94202,nom_11_1,nom_12_0,class0
-0.782231,-0.500967,-0.689636,-0.136337,-0.145029,0.120966,-0.143506,0.09343,-0.126479,0.647559,0.219684,nom_11_1,nom_12_0,class0
-0.559751,-0.402107,-1.275418,-0.328934,-0.49462,-0.33593,0.172526,-0.218544,-0.776843,-0.486632,0.114926,nom_11_0,nom_12_0,class0
0.02871,0.08157,-0.045264,-0.986067,-0.333086,-0.589211,-0.46303,0.548965,-0.799986,-1.502576,-1.285822,nom_11_0,nom_12_0,class0
-0.530085,-0.532616,0.595566,-0.438348,-1.065681,-0.503107,-0.473192,-0.435808,0.693313,-0.635585,-0.676362,nom_11_0,nom_12_0,class0
-1.133685,-0.91778,-0.43297,-1.302422,-0.447832,-1.27576,-1.477988,-0.773078,-1.125172,-1.460281,-0.498941,nom_11_0,nom_12_0,class0
1.606784,1.992082,2.011816,1.940571,1.707849,1.946627,2.539732,1.835216,1.877613,1.606917,2.519096,nom_11_1,nom_12_1,class0
-0.821641,-0.590381,-1.044024,-0.900491,-0.714029,-0.783205,-1.115591,-0.795835,-0.636829,-0.920104,0.010561,nom_11_0,nom_12_0,class0
1.359701,1.673133,1.868521,1.515185,2.546841,0.775358,1.066785,1.347964,1.367969,1.711016,1.156515,nom_11_1,nom_12_1,class0
0.320625,0.453875,0.761941,0.876954,-0.003822,0.820455,1.294673,0.505677,0.41918,1.464356,0.547842,nom_11_0,nom_12_1,class0
0.517365,1.376818,1.600616,1.495542,0.623571,2.202239,1.204828,0.875387,1.309564,1.646959,1.406243,nom_11_1,nom_12_1,class0
-0.39228,-0.705468,-0.142659,-0.111536,-0.49499,-0.901537,0.333685,0.022035,0.73023,0.718526,-0.839851,nom_11_0,nom_12_0,class0
-0.875296,-0.394701,-0.379735,0.117669,0.218187,0.190266,-1.462295,0.400052,-1.905958,-1.215801,-0.486236,nom_11_0,nom_12_1,class0
-0.353144,0.22294,-0.252583,-0.332511,-0.278272,-0.431972,0.203826,-0.227225,0.096237,0.677067,-0.446174,nom_11_0,nom_12_0,class0
-0.139016,0.444384,-0.272275,0.686445,0.623805,-0.229651,-0.107889,1.034142,0.249319,0.814034,1.108048,nom_11_1,nom_12_0,class0
0.201357,-0.356587,-0.437336,-0.572378,0.175385,-0.14404,-0.113194,-0.674024,-0.657731,-0.145507,-0.16801,nom_11_0,nom_12_0,class0
-0.224552,-0.368943,-0.259421,-0.884139,0.197535,-1.078208,-0.519049,-0.30428,0.1698,-0.769184,0.078041,nom_11_1,nom_12_0,class0
-0.122432,0.49166,-0.065935,0.090994,0.054241,-0.377727,-0.740714,-0.200161,-0.844347,-0.019803,0.241874,nom_11_0,nom_12_1,class0
-0.853817,-1.582316,0.292336,0.381752,0.285361,-0.960894,-0.571442,-0.453232,-0.634256,-0.414502,-1.134485,nom_11_0,nom_12_0,class0
0.557897,0.207558,0.723895,0.617122,0.256544,0.056351,0.188177,-0.165081,0.031194,0.679425,0.956029,nom_11_1,nom_12_1,class0
0.046367,1.009155,0.561645,0.378737,0.149372,0.387905,-0.111937,0.704516,0.285875,0.057224,0.880321,nom_11_1,nom_12_1,class0
-0.995841,0.418209,-0.55728,-0.606356,-0.240025,-0.824213,-0.267319,-1.246233,-0.278619,-0.501743,0.004034,nom_11_0,nom_12_0,class0
0.294654,1.577666,0.642973,1.72032,0.21256,1.165528,2.022462,0.741021,1.933324,1.885149,1.510261,nom_11_1,nom_12_1,class0
-1.067826,-0.016569,-1.507402,-0.718742,-0.99697,-0.433254,0.083975,-0.701894,-1.368501,-1.746072,-1.104003,nom_11_0,nom_12_0,class0
-0.844633,-0.482087,-1.030122,-0.840996,-0.739079,-1.323279,-0.772766,-1.211343,-0.955166,-0.773795,-0.204719,nom_11_0,nom_12_0,class0
0.722116,0.758106,0.985076,1.799304,0.532244,0.681857,0.122742,0.056037,0.895973,0.47946,0.562595,nom_11_1,nom_12_1,class0
0.168356,-0.232973,-0.336754,-0.46734,0.026591,-0.302961,-0.522996,0.552766,-0.69406,0.046886,-0.585636,nom_11_0,nom_12_1,class0
?,-1.539069,-0.555476,-0.08588,-1.113205,-0.772243,-0.345656,-0.496213,-0.463446,-0.626054,-1.044657,nom_11_0,nom_12_0,class0
-0.888905,-0.820033,0.044813,-0.502107,-0.072455,0.302655,0.211386,-1.324677,-0.534059,-0.685882,-0.744545,nom_11_0,nom_12_0,class0
-0.20504,1.260904,0.717997,1.188168,1.327092,1.487688,1.029383,1.964488,1.155157,1.23157,1.009143,nom_11_1,nom_12_1,class0
-0.161703,0.414565,1.128957,0.009565,0.638895,0.011662,1.015726,0.152615,0.080512,0.106352,0.998985,nom_11_0,nom_12_1,class0
-0.761886,-0.925975,-0.866802,-0.904669,-1.009955,-1.360166,-1.48851,-1.046376,-0.589066,-1.190104,-1.785875,nom_11_0,nom_12_0,class0
0.658125,0.608812,0.121626,-0.055587,-0.242945,0.103532,1.054944,0.816686,0.359351,-0.362541,0.244644,nom_11_1,nom_12_1,class0
-0.556641,0.088505,0.502379,0.826844,0.175503,0.070162,0.354178,-0.559267,0.179573,0.613297,0.482681,nom_11_0,nom_12_0,class0
-0.743641,-0.635177,-0.479447,-0.440824,-0.082685,-0.273349,-0.241917,0.194596,0.217074,0.076158,-0.559057,nom_11_0,nom_12_0,class0
2.781102,1.702534,1.25162,2.786579,2.705465,1.938619,2.110989,2.052799,2.313827,2.513799,2.113379,nom_11_1,nom_12_1,class0
0.904193,-0.100034,1.065335,0.1845,0.608896,0.095802,-0.171981,0.303895,-0.291972,0.153909,0.40281,nom_11_1,nom_12_1,class0
0.150464,0.605475,-0.045203,0.706446,0.290439,0.356488,0.110509,-0.002432,-0.374939,1.197637,0.735267,nom_11_1,nom_12_1,class0
-1.377746,-0.879147,-0.594612,-1.042353,-0.923199,-0.261588,-1.063435,-0.834698,0.364932,-0.941824,-1.742194,nom_11_0,nom_12_0,class0
0.506877,1.43983,0.554337,0.592626,0.632576,0.751594,0.497909,0.168017,0.212444,0.609259,0.932331,nom_11_1,nom_12_0,class0
?,0.52936,0.191176,0.400638,0.202386,0.13406,0.032195,0.149667,0.732518,-0.033211,0.868631,nom_11_0,nom_12_0,class0
0.580517,0.470775,0.515796,0.780458,0.20129,0.201139,1.023519,1.286151,0.931791,0.035061,0.556496,nom_11_1,nom_12_1,class0
4.027646,3.492693,4.044998,4.557972,4.791828,4.520341,4.540772,4.321689,4.326478,3.945168,3.689462,nom_11_2,nom_12_2,class1
-1.746006,-2.062423,-1.092088,-1.278292,-2.25985,-1.775714,-1.8328,-1.746517,-1.813766,-1.544797,-1.986656,nom_11_0,nom_12_0,class0
-0.645876,0.060945,-0.684111,-0.070202,-0.104075,-0.799981,0.054128,-0.107685,0.297729,0.377023,-0.05981,nom_11_0,nom_12_0,class0
-1.295041,-0.163088,-0.055432,-0.780707,0.214062,-0.81884,-0.947789,-1.346786,-0.257368,-0.460286,-0.277515,nom_11_0,nom_12_0,class0
1.081155,1.311902,1.027355,1.601015,1.477732,0.801145,0.504226,0.402744,1.10936,0.343197,0.257705,nom_11_1,nom_12_1,class0
0.912056,-0.14647,0.264988,0.123882,-0.717377,0.004947,0.388482,-1.069357,-0.592866,-0.39188,-0.525031,nom_11_0,nom_12_0,class0
-0.864323,0.331002,-1.253911,-0.002064,-0.154644,-0.415415,-0.350194,0.846403,0.609353,-0.093431,0.231776,nom_11_0,nom_12_0,class0
0.992929,1.216098,0.40065,0.805858,0.36971,1.238024,1.238061,1.233308,1.470366,1.384396,0.904803,nom_11_1,nom_12_1,class0
?,0.489966,1.356878,1.036815,2.002567,1.306021,1.348411,1.492201,1.515196,1.285811,0.241782,nom_11_1,nom_12_1,class0
-1.221224,-0.223166,-1.274907,-0.938821,-0.986489,-1.142816,-0.994321,-0.762745,-0.869161,-1.116916,-1.567411,nom_11_0,nom_12_0,class0
-1.203142,-0.03917,-0.682979,0.330719,0.130841,-0.225889,-0.426097,0.531301,-0.391372,0.3603,-0.363412,nom_11_1,nom_12_0,class0
0.43769,0.946541,0.849159,-0.305742,0.846526,1.528737,0.886541,0.154163,0.068929,1.005916,0.509415,nom_11_1,nom_12_1,class0
-0.093319,-0.506118,-0.284607,-0.473311,-1.121966,0.095634,-1.10627,-0.487225,0.479834,0.271229,-1.036922,nom_11_0,nom_12_0,class0
-0.068419,0.787738,0.14885,0.016457,0.689183,0.222012,-0.735147,-0.119863,-0.705004,-0.224697,-0.148876,nom_11_1,nom_12_0,class0
-0.076545,-0.352839,-0.07094,0.617184,0.728883,-0.034587,0.444623,0.89715,0.754077,-0.133837,0.10315,nom_11_1,nom_12_0,class0
0.59515,-0.036021,-0.338277,0.905996,1.23384,0.276214,0.735052,0.029426,0.876665,0.780309,0.622755,nom_11_1,nom_12_1,class0
0.257944,-0.356324,-0.308428,-0.596156,0.377158,-0.227973,-0.011524,-0.045424,-0.428933,-0.488991,-0.057627,nom_11_0,nom_12_0,class0
-1.262883,-0.429525,-0.962327,-0.210682,-0.61423,-0.81703,-0.594881,-1.172258,-0.607235,-1.735409,-0.571652,nom_11_0,nom_12_0,class0
0.040235,0.271392,0.033933,-0.599967,-0.507503,-0.105492,0.043897,-0.226333,-0.1785,-0.570517,-0.258358,nom_11_0,nom_12_0,class0
0.100555,0.532666,-0.372618,0.529239,0.214953,-0.289631,-0.21157,0.413363,-0.241368,0.47474,-0.775755,nom_11_1,nom_12_0,class0
-0.84215,-1.461405,-0.686527,0.20446,-1.404086,-0.635934,-1.621876,-1.481418,-0.880372,-1.07921,-0.012236,nom_11_0,nom_12_0,class0
-0.372981,-0.753383,-0.08252,-0.08719,0.765409,-0.697922,-0.266213,0.293538,0.000196,-0.488621,0.17568,nom_11_0,nom_12_1,class0
-0.101467,-0.641065,0.04929,0.796667,0.199821,1.367812,0.740028,0.558782,0.727602,-0.581107,1.338792,nom_11_1,nom_12_1,class0
?,-0.895571,-0.256268,-1.428204,-1.174494,-0.558411,-0.996802,-0.656723,-1.405789,-0.98055,-0.865734,nom_11_0,nom_12_0,class0
-1.231654,-0.730026,-1.427593,-0.649616,-0.113322,-0.511608,-1.517546,-0.7561,-1.325961,-1.172061,-1.162442,nom_11_0,nom_12_0,class0
0.833631,2.005142,1.743897,1.520768,1.018377,0.765214,0.797473,1.159246,1.202833,1.145448,1.027182,nom_11_1,nom_12_1,class0
-1.775998,-0.481804,-0.056185,-1.222546,-1.168285,-1.180592,-0.711953,-1.214596,-0.085629,-0.961718,-0.739595,nom_11_0,nom_12_0,class0
4.39549,4.659925,4.716367,3.923578,4.976926,3.83445,4.94282,5.072738,5.072155,4.778543,4.170558,nom_11_2,nom_12_2,class1
-1.28928,0.002857,0.023073,0.733617,-0.755865,-0.131054,0.023951,-1.173664,0.123052,0.296055,0.075688,nom_11_0,nom_12_1,class0
-0.377865,-1.24412,-0.417044,-1.161521,-0.676927,-0.232606,-1.386368,-1.299651,-0.955541,-0.564336,-0.906562,nom_11_0,nom_12_0,class0
-2.911615,-3.215223,-3.03287,-2.749284,-2.556542,-2.235299,-2.372496,-2.103878,-1.538896,-2.966023,-1.986376,nom_11_0,nom_12_0,class0
0.718754,-1.035706,0.510369,0.841079,0.834993,-0.37823,0.098111,0.064515,0.362768,0.045001,0.548949,nom_11_1,nom_12_0,class0
0.561168,-0.059672,-0.296983,0.195796,0.270393,-0.364174,0.571857,0.827031,0.336216,0.21984,0.748985,nom_11_1,nom_12_1,class0
-0.112175,-0.491888,0.687637,-0.657552,0.446561,-0.048661,0.174639,-0.321977,0.350343,-0.543393,0.335924,nom_11_1,nom_12_1,class0
0.766251,1.026311,0.738489,0.522799,0.622951,0.834885,1.451185,1.825831,1.088162,0.36121,0.783164,nom_11_1,nom_12_1,class0
0.311507,0.508345,0.69578,0.05562,0.248587,0.330947,-0.300011,0.263131,0.115171,0.182821,0.234833,nom_11_1,nom_12_1,class0
2.389153,2.302371,2.252431,1.642819,2.105318,2.543078,1.647193,2.0203,2.448602,2.484831,1.469078,nom_11_1,nom_12_1,class0
-0.756959,-0.725571,-0.870979,-0.756893,-1.245949,-0.374837,-0.704147,-0.362453,-0.135623,-0.220322,-0.80784,nom_11_0,nom_12_0,class0
-0.001223,0.388559,0.738723,0.560002,-0.480113,0.271968,0.773658,-0.204209,0.732216,0.140225,-0.582968,nom_11_1,nom_12_1,class0
-0.021146,-0.378076,-0.734491,-1.015151,0.111653,0.015581,-0.676626,-0.728716,-0.287902,-0.205387,0.417098,nom_11_1,nom_12_0,class0
0.511491,0.131015,0.193737,-0.128847,1.266743,1.040742,-0.209364,0.883145,0.722493,-0.143646,0.741683,nom_11_1,nom_12_1,class0
?,-1.208329,-1.657184,-0.937564,-0.550542,-0.544107,-1.199246,-1.134165,-0.516359,-1.499153,-0.293525,nom_11_0,nom_12_0,class0
0.17553,-0.732343,-0.487069,-0.112346,-0.029188,-0.379187,-0.804702,-0.839607,-1.360531,-0.640379,-0.902676,nom_11_0,nom_12_0,class0
-0.158848,-1.675445,-0.461398,-0.820443,-0.157924,-0.513791,-0.933236,-1.116044,-0.87964,-0.532447,-0.426573,nom_11_0,nom_12_0,class0
0.575972,1.644861,0.311728,1.497201,-0.119148,1.133285,1.116564,0.721802,0.916231,1.385129,0.831057,nom_11_1,nom_12_1,class0
-0.942571,-0.734367,-0.223249,-0.593149,-1.033341,-0.345489,-0.642185,-0.445746,-0.520006,-0.975917,-1.871295,nom_11_0,nom_12_0,class0
-0.123975,-0.082898,-0.328444,0.063931,0.855914,0.062016,0.109674,0.545134,-0.340814,0.912008,0.838377,nom_11_1,nom_12_1,class0
?,0.449985,1.380349,0.257982,-0.238079,-0.162906,-0.018426,-0.161502,-0.205263,-0.269885,0.594382,nom_11_1,nom_12_1,class0
-0.100726,-0.798376,-0.946822,-0.820285,-0.757954,-0.095053,-0.242707,-0.773779,0.19675,-1.048445,-0.229025,nom_11_0,nom_12_0,class0
-0.421329,-0.927495,-0.318256,-0.145229,-0.456046,-0.351508,-0.862179,-0.386024,-0.374446,-0.85642,-0.42124,nom_11_0,nom_12_0,class0
0.58988,0.628771,0.51263,0.64698,-0.181987,0.354938,0.143084,0.39569,0.149622,0.214122,0.517061,nom_11_1,nom_12_1,class0
-0.004933,-0.311494,-0.234984,-0.640456,-0.061806,-0.52169,-0.354085,0.57071,0.110201,0.055083,-0.115281,nom_11_1,nom_12_0,class0
-0.757222,0.035294,-0.10981,0.111481,0.269808,0.337392,0.834938,0.327442,1.16774,0.047317,0.465706,nom_11_0,nom_12_0,class0
1.907047,2.263378,2.445255,1.71987,1.853574,2.02574,1.753056,2.194939,1.643321,2.117987,2.044118,nom_11_1,nom_12_1,class0
-1.599637,-2.006662,-1.668113,-1.343777,-1.32669,-1.802354,-1.371125,-2.018492,-1.36389,-2.454036,-2.166423,nom_11_0,nom_12_0,class0
-1.206518,-1.458279,-0.633375,-0.412085,-1.80563,-1.061326,-1.293074,-1.147207,-1.022924,-0.997287,-0.143782,nom_11_0,nom_12_0,class0
-0.448137,0.844999,1.041064,0.678878,0.446832,0.777743,0.597032,0.82004,0.947989,-0.248593,1.003617,nom_11_1,nom_12_1,class0
-0.137564,0.871647,0.48281,0.840254,1.061803,-0.45878,-0.056883,0.610526,-0.006758,0.173023,0.801438,nom_11_0,nom_12_1,class0
0.73106,0.976887,0.481618,1.738851,1.723386,1.057695,0.814622,1.370839,0.792436,1.533855,1.460001,nom_11_1,nom_12_1,class0
-0.165808,-0.26142,-0.642874,-0.38603,0.088619,-0.221988,0.606429,-1.632294,-0.790281,0.083457,-0.206904,nom_11_0,nom_12_0,class0
0.665877,0.209563,0.981182,0.447252,0.124806,0.432287,1.561141,-0.324588,-0.631919,-0.169039,0.019368,nom_11_0,nom_12_0,class0
0.028437,1.204598,0.624878,-0.479806,0.487001,0.720061,1.006521,0.521563,0.687178,1.015412,-0.033518,nom_11_1,nom_12_0,class0
0.605534,0.702958,1.501958,1.394118,1.576608,0.89688,0.250367,1.286739,1.561959,1.122805,1.002124,nom_11_1,nom_12_1,class0
0.338188,-0.346452,-0.910024,0.065834,0.252745,-0.370834,0.214011,0.19706,-0.266015,0.269547,-0.04309,nom_11_1,nom_12_0,class0
0.853644,1.204124,0.888808,1.122488,0.763249,1.859742,1.391197,0.750655,1.618065,1.102518,1.015982,nom_11_1,nom_12_1,class0
-0.651673,-0.784515,-0.415242,-1.52291,-0.945025,-1.388789,-0.299299,-0.792101,-0.024709,-1.57917,-0.976219,nom_11_0,nom_12_0,class0
0.234407,-1.143654,0.615139,0.493247,-0.429648,-0.298229,-0.441749,-0.038783,0.139541,-0.239827,0.409869,nom_11_0,nom_12_1,class0
0.364282,1.304586,1.418321,1.011529,1.004875,0.870192,0.353993,0.580735,1.540362,1.111054,0.368232,nom_11_1,nom_12_1,class0
-1.284746,-0.823225,-1.040836,-0.929993,-1.844293,-0.645137,-1.551945,-0.744289,-0.323464,-1.234602,-0.724223,nom_11_0,nom_12_0,class0
0.907435,0.774644,1.505076,1.433008,0.562138,0.669686,0.399064,0.847294,0.543385,1.167978,1.411288,nom_11_1,nom_12_1,class0
1.058118,2.126708,1.545028,1.404082,0.810025,1.29598,0.741537,2.179378,1.504458,1.053711,0.810718,nom_11_1,nom_12_1,class0
-0.108283,0.06485,-0.429312,-0.54394,0.002751,-0.279561,-0.455629,-0.267402,-0.225591,-1.166651,-0.081076,nom_11_0,nom_12_0,class0
-0.500788,-1.508642,-0.623958,-1.406928,-0.625278,-1.032884,-0.67324,-1.114967,-0.696413,-0.542007,-0.531396,nom_11_0,nom_12_0,class0
0.816472,0.721827,0.628576,0.440499,1.040767,0.464988,0.936934,-0.061632,0.829834,0.674966,0.768821,nom_11_1,nom_12_0,class0
-0.023154,0.275838,-0.317524,-0.199361,0.014588,-0.066165,-0.211848,0.06935,-0.471111,-0.15424,0.057963,nom_11_0,nom_12_0,class0
?,0.061403,0.019081,-0.085868,-1.130814,-0.843126,0.58851,-0.492338,-0.898183,-0.43198,-0.118552,nom_11_0,nom_12_0,class0
0.198676,-0.245194,-0.159576,0.126679,0.482743,0.844247,0.660762,0.847538,1.132949,-0.410698,-0.040743,nom_11_0,nom_12_1,class0
-0.449658,-0.291361,-0.917298,-0.822459,-0.389808,-0.752976,-0.770676,0.05185,-0.960312,-0.737697,-0.790101,nom_11_0,nom_12_0,class0
0.422168,1.261848,0.794748,0.897158,0.837436,1.064373,0.824266,1.546537,0.688863,0.421298,1.64662,nom_11_1,nom_12_1,class0
-0.439252,-0.69824,-0.278471,0.262103,-0.777216,0.003151,-0.428144,-0.679245,-0.63188,-0.428764,-0.056343,nom_11_0,nom_12_1,class0
0.849977,0.394982,1.643363,0.195104,0.95055,0.406862,0.53948,1.518995,0.635538,0.941708,0.550765,nom_11_1,nom_12_1,class0
-0.152256,-0.300623,-0.787715,-0.428809,0.253443,0.137204,-0.37447,-0.653333,0.681391,-0.441044,0.144788,nom_11_1,nom_12_1,class0
0.079201,0.939506,-0.350088,0.553033,0.676476,0.792372,0.992242,-0.462773,-0.168641,0.402037,0.519748,nom_11_1,nom_12_1,class0
9.439426,8.883776,9.728789,9.105072,9.056866,9.644406,10.101985,9.388687,9.350812,8.610676,9.022867,nom_11_3,nom_12_3,class2
0.323394,-0.174672,0.110653,0.215976,0.883342,0.615653,0.682858,0.813119,1.060837,-0.043217,-1.059824,nom_11_0,nom_12_1,class0
0.013924,-0.256619,-0.374993,1.113127,-0.007064,-0.126143,-0.861295,0.339761,0.25425,0.593832,0.21549,nom_11_0,nom_12_1,class0
1.530524,0.789218,-0.066497,0.884109,0.591471,0.737648,1.252536,-0.067987,1.117411,0.50698,0.442444,nom_11_0,nom_12_1,class0
0.132709,0.462827,0.547439,0.288981,0.715229,0.031494,1.482685,0.666565,-0.329506,1.041069,0.179668,nom_11_1,nom_12_1,class0
-0.582333,-0.253455,-0.83263,-0.154262,-0.097987,-0.75863,-1.068225,-0.635484,-0.697988,-0.492568,-1.193767,nom_11_0,nom_12_0,class0
-0.002237,-0.138326,0.094114,0.538557,-0.244949,0.492423,0.379677,-0.224315,-0.53233,0.469793,0.456494,nom_11_0,nom_12_0,class0
